,release_date,release_year,title,genre,prod_method,dom_gross,int_gross,world_gross,release_month,release_season
0,"Dec 18, 2015",2015,Star Wars Ep. VII: The Force Awakens,Adventure,Animation/Live Action,936662225,1128815859,2065478084,December,Fall
1,"Jun 12, 2015",2015,Jurassic World,Action,Live Action,652270625,1017673342,1669943967,June,Spring
2,"May 1, 2015",2015,Avengers: Age of Ultron,Action,Animation/Live Action,459005868,937093334,1396099202,May,Spring
3,"Jun 19, 2015",2015,Inside Out,Adventure,Digital Animation,356461711,498748492,855210203,June,Spring
4,"Apr 3, 2015",2015,Furious 7,Action,Live Action,353007020,1165715774,1518722794,April,Spring
5,"Jul 10, 2015",2015,Minions,Adventure,Digital Animation,336045770,823585370,1159631140,July,Summer
6,"Nov 20, 2015",2015,The Hunger Games: Mockingjay - Part 2,Thriller/Suspense,Live Action,281723902,367262885,648986787,November,Fall
7,"Oct 2, 2015",2015,The Martian,Thriller/Suspense,Live Action,228433663,426760537,655194200,October,Fall
8,"Mar 13, 2015",2015,Cinderella,Drama,Live Action,201151353,333400000,534551353,March,Winter
9,"Nov 6, 2015",2015,Spectre,Action,Live Action,200074175,679426585,879500760,November,Fall
10,"Jul 31, 2015",2015,Mission: ImpossibleâRogue Nation,Action,Live Action,195042377,493816615,688858992,July,Summer
11,"May 15, 2015",2015,Pitch Perfect 2,Comedy,Live Action,184296230,103329238,287625468,May,Spring
12,"Dec 25, 2015",2015,The Revenant,Adventure,Live Action,183637894,349300408,532938302,December,Fall
13,"Jul 17, 2015",2015,Ant-Man,Action,Live Action,180202163,338656286,518858449,July,Summer
14,"Mar 27, 2015",2015,Home,Adventure,Digital Animation,177397510,208600386,385997896,March,Winter
15,"Sep 25, 2015",2015,Hotel Transylvania 2,Adventure,Digital Animation,169700110,299800188,469500298,September,Summer
16,"Feb 13, 2015",2015,Fifty Shades of Grey,Drama,Live Action,166167230,404830871,570998101,February,Winter
17,"Feb 6, 2015",2015,The SpongeBob Movie: Sponge Out of Water,Adventure,Animation/Live Action,162994032,148019149,311013181,February,Winter
18,"Aug 14, 2015",2015,Straight Outta Compton,Drama,Live Action,161197785,40985196,202182981,August,Summer
19,"May 29, 2015",2015,San Andreas,Adventure,Live Action,155190832,301067707,456258539,May,Spring
20,"May 15, 2015",2015,Mad Max: Fury Road,Action,Live Action,153636354,214607282,368243636,May,Spring
21,"Dec 25, 2015",2015,Daddyâs Home,Comedy,Live Action,150357137,91147852,241504989,December,Fall
22,"Mar 20, 2015",2015,The Divergent Series: Insurgent,Action,Live Action,130179072,164896810,295075882,March,Winter
23,"Nov 6, 2015",2015,The Peanuts Movie,Adventure,Digital Animation,130178411,119913199,250091610,November,Fall
24,"Feb 13, 2015",2015,Kingsman: The Secret Service,Action,Live Action,128261724,276300000,404561724,February,Winter
25,"Nov 25, 2015",2015,The Good Dinosaur,Adventure,Digital Animation,123087120,210683917,333771037,November,Fall
26,"Jun 5, 2015",2015,Spy!,Comedy,Live Action,110825712,121760036,232585748,June,Spring
27,"Jul 17, 2015",2015,Trainwreck,Comedy,Live Action,110212700,30911197,141123897,July,Summer
28,"Nov 25, 2015",2015,Creed,Drama,Live Action,109767581,63800000,173567581,November,Fall
29,"May 22, 2015",2015,Tomorrowland,Adventure,Live Action,93436322,113191196,206627518,May,Spring
30,"Mar 27, 2015",2015,Get Hard,Comedy,Live Action,90411453,16100000,106511453,March,Winter
31,"Jul 1, 2015",2015,Terminator: Genisys,Action,Live Action,89760956,342389938,432150894,July,Summer
32,"Dec 18, 2015",2015,Sisters,Comedy,Live Action,87044645,18986015,106030660,December,Fall
33,"Dec 18, 2015",2015,Alvin and the Chipmunks: The Road Chip,Adventure,Animation/Live Action,85886987,163630969,249517956,December,Fall
34,"Sep 18, 2015",2015,Maze Runner: The Scorch Trials,Thriller/Suspense,Live Action,81697192,228868970,310566162,September,Summer
35,"Jun 26, 2015",2015,Ted 2,Comedy,Animation/Live Action,81476385,135737758,217214143,June,Spring
36,"Oct 16, 2015",2015,Goosebumps,Horror,Animation/Live Action,80069458,78835866,158905324,October,Fall
37,"Jul 24, 2015",2015,Pixels,Adventure,Animation/Live Action,78765986,165275818,244041804,July,Summer
38,"Jan 16, 2015",2015,Paddington,Adventure,Animation/Live Action,76223578,181706765,257930343,January,Winter
39,"Sep 25, 2015",2015,The Intern,Comedy,Live Action,75764672,121351038,197115710,September,Summer
40,"Oct 16, 2015",2015,Bridge of Spies,Thriller/Suspense,Live Action,72313754,90184584,162498338,October,Fall
41,"Apr 17, 2015",2015,Paul Blart: Mall Cop 2,Adventure,Live Action,71091594,36559052,107650646,April,Spring
42,"Dec 11, 2015",2015,The Big Short,Drama,Live Action,70259870,62902882,133162752,December,Fall
43,"Aug 28, 2015",2015,War Room,Drama,Live Action,67790117,6196787,73986904,August,Summer
44,"Jul 1, 2015",2015,Magic Mike XXL,Comedy,Live Action,66013057,57647540,123660597,July,Summer
45,"Sep 11, 2015",2015,The Visit,Thriller/Suspense,Live Action,65206105,33471711,98677816,September,Summer
46,"Jan 16, 2015",2015,The Wedding Ringer,Comedy,Live Action,64460211,15711385,80171596,January,Winter
47,"Sep 18, 2015",2015,Black Mass,Drama,Live Action,62575678,36262194,98837872,September,Summer
48,"Jul 29, 2015",2015,Vacation,Comedy,Live Action,58884188,43422312,102306500,July,Summer
49,"Sep 11, 2015",2015,The Perfect Guy,Thriller/Suspense,Live Action,57027435,3250731,60278166,September,Summer
50,"Dec 25, 2015",2015,Joy,Drama,Live Action,56451232,44682827,101134059,December,Fall
51,"Aug 7, 2015",2015,Fantastic Four,Action,Live Action,56117548,111731639,167849187,August,Summer
52,"Dec 25, 2015",2015,The Hateful Eight,Western,Live Action,54117416,93985457,148102873,December,Fall
53,"Feb 27, 2015",2015,Focus,Romantic Comedy,Live Action,53862963,114202737,168065700,February,Winter
54,"Jul 24, 2015",2015,Southpaw,Drama,Live Action,52421953,41734503,94156456,July,Summer
55,"Jun 5, 2015",2015,Insidious Chapter 3,Horror,Live Action,52218558,68234597,120453155,June,Spring
56,"Feb 6, 2015",2015,Jupiter Ascending,Action,Live Action,47482519,134500000,181982519,February,Winter
57,"May 22, 2015",2015,Poltergeist,Horror,Live Action,47425125,48287944,95713069,May,Spring
58,"Sep 18, 2015",2015,Sicario,Thriller/Suspense,Live Action,46889293,37504456,84393749,September,Summer
59,"Aug 14, 2015",2015,The Man From U.N.C.L.E.,Action,Live Action,45445109,63072626,108517735,August,Summer
60,"Nov 6, 2015",2015,Spotlight,Drama,Live Action,45055776,46846662,91902438,November,Fall
61,"Feb 20, 2015",2015,"McFarland, USA",Drama,Live Action,44480275,1227649,45707924,February,Winter
62,"Aug 7, 2015",2015,The Gift,Thriller/Suspense,Live Action,43787265,15191212,58978477,August,Summer
63,"Sep 18, 2015",2015,Everest,Thriller/Suspense,Live Action,43482270,177814791,221297061,September,Summer
64,"Nov 20, 2015",2015,The Night Before,Comedy,Live Action,43035725,9532374,52568099,November,Fall
65,"Dec 4, 2015",2015,Krampus,Black Comedy,Live Action,42725475,19062918,61788393,December,Fall
66,"Jun 26, 2015",2015,Max,Adventure,Live Action,42656255,1001902,43658157,June,Spring
67,"Apr 24, 2015",2015,The Age of Adaline,Drama,Live Action,42629776,26354760,68984536,April,Spring
68,"Apr 10, 2015",2015,The Longest Ride,Drama,Live Action,37446117,26356811,63802928,April,Spring
69,"Jan 23, 2015",2015,The Boy Next Door,Thriller/Suspense,Live Action,36006065,17395873,53401938,January,Winter
70,"Oct 9, 2015",2015,Pan,Adventure,Live Action,35088320,116437653,151525973,October,Fall
71,"May 8, 2015",2015,Hot Pursuit,Comedy,Live Action,34580201,11091311,45671512,May,Spring
72,"Dec 25, 2015",2015,Concussion,Drama,Live Action,34531832,15831958,50363790,December,Fall
73,"Feb 20, 2015",2015,The DUFF,Comedy,Live Action,34030343,9498291,43528634,February,Winter
74,"Apr 1, 2015",2015,Woman in Gold,Drama,Live Action,33307793,25278614,58586407,April,Spring
75,"Mar 6, 2015",2015,The Second Best Exotic Marigold Hotel,Comedy,Live Action,33078266,57306040,90384306,March,Winter
76,"Apr 17, 2015",2015,Unfriended,Horror,Live Action,32789645,31574553,64364198,April,Spring
77,"Jun 3, 2015",2015,Entourage,Comedy,Live Action,32363404,14075134,46438538,June,Spring
78,"Jul 24, 2015",2015,Paper Towns,Drama,Live Action,32000304,53450180,85450484,July,Summer
79,"Mar 6, 2015",2015,Chappie,Action,Animation/Live Action,31569268,73432788,105002056,March,Winter
80,"Oct 16, 2015",2015,Crimson Peak,Horror,Live Action,31090320,43876534,74966854,October,Fall
81,"Sep 2, 2015",2015,A Walk in the Woods,Adventure,Live Action,29499394,7619964,37119358,September,Summer
82,"Dec 25, 2015",2015,Point Break,Action,Live Action,28782481,97922110,126704591,December,Fall
83,"Aug 21, 2015",2015,Sinister 2,Horror,Live Action,27740955,26363270,54104225,August,Summer
84,"Oct 23, 2015",2015,The Last Witch Hunter,Action,Live Action,27367660,103451252,130818912,October,Fall
85,"Aug 26, 2015",2015,No Escape,Thriller/Suspense,Live Action,27288872,15555644,42844516,August,Summer
86,"Aug 7, 2015",2015,Ricki and the Flash,Drama,Live Action,26839498,14326535,41166033,August,Summer
87,"Jan 2, 2015",2015,The Woman in Black 2: Angel of Death,Horror,Live Action,26501323,18505369,45006692,January,Winter
88,"Mar 13, 2015",2015,Run All Night,Action,Live Action,26461644,40500000,66961644,March,Winter
89,"Nov 13, 2015",2015,Love the Coopers,Comedy,Live Action,26302731,17960682,44263413,November,Fall
90,"Feb 27, 2015",2015,The Lazarus Effect,Horror,Live Action,25801570,12557740,38359310,February,Winter
91,"Apr 10, 2015",2015,Ex Machina,Thriller/Suspense,Live Action,25440971,12917421,38358392,April,Spring
92,"Dec 11, 2015",2015,In the Heart of the Sea,Adventure,Live Action,25020758,64672551,89693309,December,Fall
93,"Jul 10, 2015",2015,The Gallows,Horror,Live Action,22764410,18892064,41656474,July,Summer
94,"Aug 21, 2015",2015,Hitman: Agent 47,Action,Live Action,22467450,59715353,82182803,August,Summer
95,"Jan 30, 2015",2015,Project Almanac,Adventure,Live Action,22348241,10561196,32909437,January,Winter
96,"Jan 30, 2015",2015,Black or White,Drama,Live Action,21571189,399832,21971021,January,Winter
97,"May 29, 2015",2015,Aloha,Drama,Live Action,21052030,4335061,25387091,May,Spring
98,"Nov 20, 2015",2015,Secret in Their Eyes,Thriller/Suspense,Live Action,20180155,12427864,32608019,November,Fall
99,"Jan 16, 2015",2015,Still Alice,Drama,Live Action,18656400,23043212,41699612,January,Winter
100,"Dec 16, 2016",2016,Rogue One: A Star Wars Story,Adventure,Animation/Live Action,532177324,523879949,1056057273,December,Fall
101,"Jun 17, 2016",2016,Finding Dory,Adventure,Digital Animation,486295561,538710564,1025006125,June,Spring
102,"May 6, 2016",2016,Captain America: Civil War,Action,Live Action,408084349,743834172,1151918521,May,Spring
103,"Jul 8, 2016",2016,The Secret Life of Pets,Adventure,Digital Animation,368384330,518222082,886606412,July,Summer
104,"Apr 15, 2016",2016,The Jungle Book,Adventure,Animation/Live Action,364001123,596358986,960360109,April,Spring
105,"Feb 12, 2016",2016,Deadpool,Action,Animation/Live Action,363070709,421954884,785025593,February,Winter
106,"Mar 4, 2016",2016,Zootopia,Adventure,Digital Animation,341268248,666605947,1007874195,March,Winter
107,"Mar 25, 2016",2016,Batman v Superman: Dawn of Justice,Action,Live Action,330360194,542034897,872395091,March,Winter
108,"Aug 5, 2016",2016,Suicide Squad,Action,Animation/Live Action,325100054,421746840,746846894,August,Summer
109,"Dec 21, 2016",2016,Sing,Adventure,Digital Animation,270329045,362154566,632483611,December,Fall
110,"Nov 23, 2016",2016,Moana,Musical,Digital Animation,248757044,387663732,636420776,November,Fall
111,"Nov 18, 2016",2016,Fantastic Beasts and Where to Find Them,Adventure,Animation/Live Action,234037575,579436761,813474336,November,Fall
112,"Nov 4, 2016",2016,Doctor Strange,Action,Animation/Live Action,232641920,443712561,676354481,November,Fall
113,"Dec 25, 2016",2016,Hidden Figures,Drama,Live Action,169607287,62164429,231771716,December,Fall
114,"Jul 29, 2016",2016,Jason Bourne,Action,Live Action,162192920,253975396,416168316,July,Summer
115,"Jul 22, 2016",2016,Star Trek Beyond,Adventure,Live Action,158848340,176953893,335802233,July,Summer
116,"May 27, 2016",2016,X-Men: Apocalypse,Action,Live Action,155442489,387095057,542537546,May,Spring
117,"Nov 4, 2016",2016,Trolls,Adventure,Digital Animation,153707064,189535549,343242613,November,Fall
118,"Dec 9, 2016",2016,La La Land,Musical,Live Action,151101803,292904050,444005853,December,Fall
119,"Jan 29, 2016",2016,Kung Fu Panda 3,Adventure,Digital Animation,143528619,377642206,521170825,January,Winter
120,"Jul 15, 2016",2016,Ghostbusters,Comedy,Animation/Live Action,128350574,100658084,229008658,July,Summer
121,"Jun 17, 2016",2016,Central Intelligence,Comedy,Live Action,127440871,89753934,217194805,June,Spring
122,"Jul 1, 2016",2016,The Legend of Tarzan,Adventure,Live Action,126643061,222258964,348902025,July,Summer
123,"Sep 9, 2016",2016,Sully,Drama,Live Action,125070033,113454523,238524556,September,Summer
124,"Jul 29, 2016",2016,Bad Moms,Comedy,Live Action,113257297,67741419,180998716,July,Summer
125,"May 20, 2016",2016,The Angry Birds Movie,Adventure,Digital Animation,107509366,244818521,352327887,May,Spring
126,"Jun 24, 2016",2016,Independence Day: Resurgence,Action,Live Action,103144286,281025138,384169424,June,Spring
127,"Jun 10, 2016",2016,The Conjuring 2: The Enfield Poltergeist,Horror,Live Action,102470008,207993263,310463271,June,Spring
128,"Nov 11, 2016",2016,Arrival,Drama,Live Action,100546139,102581755,203127894,November,Fall
129,"Dec 21, 2016",2016,Passengers,Thriller/Suspense,Live Action,100014699,202224973,302239672,December,Fall
130,"Aug 12, 2016",2016,Sausage Party,Comedy,Digital Animation,97670358,43673897,141344255,August,Summer
131,"Sep 23, 2016",2016,The Magnificent Seven,Western,Live Action,93432655,69092501,162525156,September,Summer
132,"Jan 15, 2016",2016,Ride Along 2,Comedy,Live Action,90862685,33964631,124827316,January,Winter
133,"Aug 26, 2016",2016,Donât Breathe,Horror,Live Action,89217875,69755810,158973685,August,Summer
134,"Sep 30, 2016",2016,Miss Peregrineâs Home for Peculiar …,Adventure,Animation/Live Action,87242834,208744042,295986876,September,Summer
135,"Oct 14, 2016",2016,The Accountant,Thriller/Suspense,Live Action,86260045,66702038,152962083,October,Fall
136,"Jun 3, 2016",2016,Teenage Mutant Ninja Turtles: Out of …,Adventure,Animation/Live Action,82051601,163276773,245328374,June,Spring
137,"Jul 1, 2016",2016,The Purge: Election Year,Horror,Live Action,79042440,39472287,118514727,July,Summer
138,"May 27, 2016",2016,Alice Through the Looking Glass,Adventure,Animation/Live Action,77042381,199885731,276928112,May,Spring
139,"Aug 12, 2016",2016,Peteâs Dragon,Adventure,Animation/Live Action,76233151,61535824,137768975,August,Summer
140,"Oct 7, 2016",2016,The Girl on the Train,Thriller/Suspense,Live Action,75395035,98883179,174278214,October,Fall
141,"Oct 21, 2016",2016,Tyler Perryâs Boo! A Madea Halloween,Comedy,Live Action,73206343,0,73206343,October,Fall
142,"Sep 23, 2016",2016,Storks,Adventure,Digital Animation,72679278,110674153,183353431,September,Summer
143,"Mar 11, 2016",2016,10 Cloverfield Lane,Thriller/Suspense,Live Action,72082999,36203423,108286422,March,Winter
144,"Jul 22, 2016",2016,Lights Out,Horror,Live Action,67268835,81537675,148806510,July,Summer
145,"Nov 4, 2016",2016,Hacksaw Ridge,Drama,Live Action,67209615,101695067,168904682,November,Fall
146,"Mar 18, 2016",2016,The Divergent Series: Allegiant,Action,Live Action,66184051,105838466,172022517,March,Winter
147,"Jun 10, 2016",2016,Now You See Me 2,Thriller/Suspense,Live Action,65075540,263249467,328325007,June,Spring
148,"Jul 22, 2016",2016,Ice Age: Collision Course,Adventure,Digital Animation,64063008,338093674,402156682,July,Summer
149,"Apr 8, 2016",2016,The Boss,Comedy,Live Action,63077560,15574647,78652207,April,Spring
150,"Mar 4, 2016",2016,London Has Fallen,Thriller/Suspense,Live Action,62524260,132669825,195194085,March,Winter
151,"Mar 16, 2016",2016,Miracles from Heaven,Drama,Live Action,61705123,12093613,73798736,March,Winter
152,"Sep 30, 2016",2016,Deepwater Horizon,Drama,Live Action,61433527,61170297,122603824,September,Summer
153,"Dec 23, 2016",2016,Why Him?,Comedy,Live Action,60323786,57101370,117425156,December,Fall
154,"Mar 25, 2016",2016,My Big Fat Greek Wedding 2,Comedy,Live Action,59689605,32406953,92096558,March,Winter
155,"Oct 21, 2016",2016,Jack Reacher: Never Go Back,Action,Live Action,58697076,101249413,159946489,October,Fall
156,"Dec 16, 2016",2016,Fences,Drama,Live Action,57682904,6599977,64282881,December,Fall
157,"Jun 3, 2016",2016,Me Before You,Drama,Live Action,56245075,152020123,208265198,June,Spring
158,"Jul 1, 2016",2016,The BFG,Adventure,Animation/Live Action,55483770,144162910,199646680,July,Summer
159,"May 20, 2016",2016,Neighbors 2: Sorority Rising,Comedy,Live Action,55340730,53416891,108757621,May,Spring
160,"Jun 24, 2016",2016,The Shallows,Drama,Live Action,55121623,63641819,118763442,June,Spring
161,"Dec 9, 2016",2016,Office Christmas Party,Comedy,Live Action,54767494,60330380,115097874,December,Fall
162,"Dec 21, 2016",2016,Assassinâs Creed,Action,Live Action,54647948,186111734,240759682,December,Fall
163,"Apr 15, 2016",2016,Barbershop: The Next Cut,Comedy,Live Action,54030051,374151,54404202,April,Spring
164,"Jan 15, 2016",2016,13 Hours: The Secret Soldiers of Beng…,Drama,Live Action,52853219,16558151,69411370,January,Winter
165,"Aug 19, 2016",2016,Kubo and the Two Strings,Adventure,Stop-Motion Animation,48023088,29525034,77548122,August,Summer
166,"Apr 22, 2016",2016,The Huntsman: Winterâs War,Action,Live Action,48003015,117146287,165149302,April,Spring
167,"Nov 18, 2016",2016,Manchester by the Sea,Drama,Live Action,47695371,30038496,77733867,November,Fall
168,"Jun 10, 2016",2016,Warcraft,Action,Live Action,47365290,391534534,438899824,June,Spring
169,"Feb 12, 2016",2016,How to be Single,Romantic Comedy,Live Action,46843513,53160267,100003780,February,Winter
170,"Jul 8, 2016",2016,Mike and Dave Need Wedding Dates,Comedy,Live Action,46009673,29888427,75898100,July,Summer
171,"Aug 19, 2016",2016,War Dogs,Comedy,Live Action,43034523,43199980,86234503,August,Summer
172,"Nov 11, 2016",2016,Almost Christmas,Drama,Live Action,42065185,428321,42493506,November,Fall
173,"May 13, 2016",2016,Money Monster,Thriller/Suspense,Live Action,41012075,52454020,93466095,May,Spring
174,"Nov 23, 2016",2016,Allied,Drama,Live Action,40098064,79168597,119266661,November,Fall
175,"Jul 27, 2016",2016,Nerve,Thriller/Suspense,Live Action,38583626,47000319,85583945,July,Summer
176,"Feb 19, 2016",2016,Risen,Drama,Live Action,36880033,9375730,46255763,February,Winter
177,"May 20, 2016",2016,The Nice Guys,Black Comedy,Live Action,36261763,23334984,59596747,May,Spring
178,"Jan 22, 2016",2016,The Boy,Horror,Live Action,35819556,32401396,68220952,January,Winter
179,"Jan 22, 2016",2016,Dirty Grandpa,Comedy,Live Action,35593113,69485336,105078449,January,Winter
180,"Oct 21, 2016",2016,Ouija: Origin of Evil,Horror,Live Action,35144505,46687361,81831866,October,Fall
181,"Jan 22, 2016",2016,The 5th Wave,Action,Live Action,34912982,76423416,111336398,January,Winter
182,"Oct 28, 2016",2016,Inferno,Thriller/Suspense,Live Action,34343574,185175793,219519367,October,Fall
183,"Apr 29, 2016",2016,Motherâs Day,Romantic Comedy,Live Action,32492859,19874163,52367022,April,Spring
184,"Dec 21, 2016",2016,Patriots Day,Thriller/Suspense,Live Action,31886361,20951628,52837989,December,Fall
185,"Feb 26, 2016",2016,Gods of Egypt,Adventure,Live Action,31153464,107683292,138836756,February,Winter
186,"Dec 16, 2016",2016,Collateral Beauty,Drama,Live Action,31016021,54293072,85309093,December,Fall
187,"Feb 5, 2016",2016,"Hail, Caesar!",Comedy,Live Action,30080225,34139971,64220196,February,Winter
188,"Sep 9, 2016",2016,When the Bough Breaks,Thriller/Suspense,Live Action,29747603,1020846,30768449,September,Summer
189,"Feb 12, 2016",2016,Zoolander 2,Comedy,Live Action,28848693,26500000,55348693,February,Winter
190,"Oct 21, 2016",2016,Moonlight,Drama,Live Action,27854931,37390581,65245512,October,Fall
191,"Jan 29, 2016",2016,The Finest Hours,Thriller/Suspense,Live Action,27569558,21683203,49252761,January,Winter
192,"Aug 12, 2016",2016,Florence Foster Jenkins,Drama,Live Action,27383770,28616569,56000339,August,Summer
193,"Aug 12, 2016",2016,Hell or High Water,Western,Live Action,27007844,10576460,37584304,August,Summer
194,"Jan 8, 2016",2016,The Forest,Thriller/Suspense,Live Action,26594261,14154969,40749230,January,Winter
195,"Aug 19, 2016",2016,Ben-Hur,Drama,Live Action,26410477,65259171,91669648,August,Summer
196,"Feb 19, 2016",2016,The Witch,Horror,Live Action,25138705,15315815,40454520,February,Winter
